entrance_score,gpa,extracurricular_count,volunteer_hours,gender,caste,region,language,admitted
77,3.063374428959916,5,49,Female,OBC,East,Bengali,1
63,2.6409729097613033,1,77,Male,OBC,East,Bengali,0
84,3.367420211494261,1,74,Male,SC,West,Hindi,0
73,2.553913410695113,1,8,Male,SC,North,English,0
68,3.1983970271986903,5,33,Male,General,West,Tamil,0
85,3.313966952061365,6,75,Male,General,East,Bengali,1
61,2.9298118781924267,2,98,Female,OBC,North,English,0
79,3.386249890853516,2,34,Male,ST,East,Bengali,0
87,2.5457503749085744,6,0,Male,ST,North,Hindi,0
66,2.5560222831238217,1,39,Female,SC,South,English,0
67,3.733900840989487,3,63,Male,SC,East,Hindi,1
94,3.0402859621168945,0,21,Female,SC,East,Bengali,1
73,2.690590768977827,5,59,Female,OBC,West,Bengali,0
76,3.2833648900822068,0,63,Female,ST,East,Hindi,0
95,3.6549903296479163,7,92,Male,General,East,Tamil,1
99,2.8237315412452646,6,71,Male,OBC,South,Hindi,1
63,3.4343357137285,3,10,Male,General,East,Bengali,0
61,2.6280211974906518,5,13,Female,General,South,Hindi,0
65,2.5775225817529117,6,59,Male,OBC,South,Tamil,0
63,3.297031947352222,1,29,Female,General,South,Hindi,0
88,3.31095268241516,2,34,Male,ST,South,Tamil,0
77,3.4561448522473097,0,84,Female,General,North,Tamil,1
85,3.5891370005839924,4,36,Male,ST,West,Hindi,0
93,3.963778119193802,4,4,Male,ST,North,Hindi,1
69,3.274450522451793,3,82,Male,ST,East,English,0
95,2.984434709411869,1,77,Female,SC,North,Bengali,1
73,3.6927792921530553,7,25,Female,General,North,Tamil,1
90,2.906248376893111,0,61,Male,OBC,East,English,1
74,3.158457131058454,1,3,Male,OBC,East,Hindi,1
67,2.617684572013399,0,88,Female,General,East,Bengali,0
73,2.5380261151231864,3,41,Female,SC,North,English,0
82,3.9439726220168874,3,88,Female,SC,North,Tamil,1
99,3.7539701807683086,7,17,Male,ST,East,English,1
80,3.543961309140547,4,39,Female,General,West,Tamil,0
75,3.113429416621405,1,71,Male,General,West,Hindi,0
77,2.7599414801062685,5,38,Female,OBC,South,Bengali,1
83,2.734655564006629,4,13,Male,General,East,Bengali,1
85,2.875364347246893,1,31,Female,SC,South,Bengali,1
84,3.3238399970591805,4,50,Female,General,West,Hindi,0
88,3.571893884050094,5,37,Female,OBC,South,Tamil,1
74,3.490296065076597,2,96,Female,ST,East,Hindi,0
60,2.919900845418914,2,22,Female,OBC,East,Bengali,0
84,3.9322979209947913,7,62,Male,OBC,East,Hindi,1
66,3.606845375043653,2,14,Female,ST,North,Hindi,0
68,3.3315310787671013,2,96,Female,OBC,South,Hindi,0
83,3.4175811193515284,6,24,Female,OBC,West,Tamil,0
60,3.129400093641685,0,16,Male,General,West,English,0
67,2.8715964842517363,6,96,Female,General,West,English,0
83,3.0339590179768923,6,65,Male,ST,North,Hindi,0
70,3.6367691656965535,7,77,Female,General,North,English,1
76,2.521590232944634,6,52,Female,General,East,English,0
67,2.6741089607603743,2,50,Male,OBC,West,Hindi,0
94,2.569003963032629,5,38,Female,SC,North,Hindi,1
94,2.561093203478455,7,50,Male,General,East,Bengali,1
92,3.7831908760165107,7,69,Male,SC,West,English,1
64,3.5554867890700352,3,5,Female,General,South,Tamil,0
98,3.2112607436309877,7,66,Male,General,East,Hindi,1
87,2.6467512409765024,3,6,Female,ST,North,Bengali,0
66,3.2374238126752486,7,50,Female,ST,North,Tamil,0
68,3.210207656170849,0,71,Male,ST,East,English,0
67,2.7598028048650227,2,41,Male,SC,East,Bengali,0
71,3.1507774738569596,7,63,Male,OBC,North,Hindi,1
93,3.09775710159606,2,14,Male,General,South,Tamil,1
92,3.4237751470783246,2,28,Female,General,West,Hindi,1
82,3.4526404763014655,4,32,Female,General,South,English,1
83,2.567956014658067,7,93,Male,SC,East,Tamil,1
96,3.0619189219397067,1,26,Female,ST,South,English,0
94,3.4387898735713547,4,35,Female,OBC,North,English,1
99,3.254704387870132,1,28,Female,SC,East,Bengali,1
81,3.7847347617824836,2,37,Female,ST,West,Hindi,0
86,3.4880404474284177,2,56,Male,SC,North,Tamil,1
94,2.7444016406221445,4,96,Male,OBC,North,English,1
60,2.605853121100645,4,26,Female,ST,West,English,0
94,3.4636289173094736,1,54,Male,SC,West,Tamil,1
96,2.539766965812433,3,32,Male,OBC,South,English,1
73,3.378663371910195,1,67,Male,General,East,Bengali,1
62,3.9103453621374364,4,85,Female,OBC,West,Bengali,0
60,3.3632112668138183,5,65,Female,General,West,Bengali,0
64,3.082254889309783,4,9,Female,SC,East,Bengali,0
85,3.4649323276635298,5,4,Male,ST,West,English,0
73,3.187379335737275,0,73,Female,ST,West,Tamil,0
98,3.3184251839739023,4,96,Female,SC,South,Tamil,1
86,3.912197213164788,0,37,Male,ST,North,Tamil,0
68,3.0791539567011617,3,12,Female,ST,North,Tamil,0
74,3.9417858457358714,1,30,Female,General,North,Hindi,1
74,3.8580259629340956,5,46,Male,SC,North,Tamil,1
85,2.793686702183945,1,99,Male,OBC,West,Hindi,0
72,2.604041951312748,0,87,Male,General,East,Hindi,0
91,2.65116700206614,5,51,Female,SC,East,Bengali,1
98,2.5273327384773245,1,55,Female,General,South,Hindi,1
91,2.6416644411338925,4,14,Female,OBC,South,English,1
63,3.524510160124535,2,28,Male,OBC,West,Hindi,0
89,2.6067829726903433,0,7,Male,SC,East,Bengali,1
96,2.978463445440642,1,4,Female,OBC,East,Hindi,1
82,3.767312966454182,0,28,Female,General,North,English,1
98,2.534907903603739,6,46,Male,OBC,West,English,1
74,3.7217027238834035,0,67,Male,General,West,English,0
88,2.9227821621601,5,75,Male,General,North,Bengali,1
95,2.677247241432484,6,44,Male,OBC,West,Bengali,0
72,3.5451057480462262,7,1,Female,SC,West,Tamil,0
91,3.443414270169826,5,26,Male,ST,South,Bengali,0
66,3.8162080202905795,2,94,Female,OBC,East,English,1
81,3.6026065657058286,6,35,Female,General,West,English,0
87,3.705221395577273,7,35,Female,General,South,Bengali,1
61,2.92305185885696,4,25,Male,OBC,East,Hindi,0
65,2.7661593156695843,0,42,Male,SC,North,Bengali,0
87,3.6259221274612874,1,26,Male,SC,South,Bengali,1
87,3.710252108900896,3,68,Male,General,South,English,1
79,3.98575771300101,0,19,Female,General,East,Tamil,1
89,3.1189265153671397,7,10,Male,SC,North,English,1
70,3.058027128689175,0,73,Male,ST,South,Tamil,0
87,3.664619441112995,2,37,Female,OBC,West,English,1
84,3.011205310379527,4,5,Male,General,West,Bengali,0
98,3.896135988405347,3,71,Female,General,West,English,1
92,3.7876191277645175,6,22,Female,SC,North,English,1
60,3.1434910410625276,6,46,Female,OBC,South,English,0
86,3.6263066016872463,6,89,Female,SC,West,Bengali,0
72,3.6318143111270236,7,45,Female,OBC,North,Bengali,1
62,2.6546858032538987,5,11,Female,OBC,West,Bengali,0
98,3.85382936001935,5,89,Female,OBC,East,Bengali,1
65,3.257878558671786,1,12,Female,General,South,Tamil,0
67,3.7396861991616124,3,61,Male,ST,South,Tamil,0
86,2.9800744015459175,6,81,Male,SC,North,Hindi,1
68,3.8432848427443007,5,88,Male,ST,North,Bengali,0
96,3.083802518101245,7,96,Male,SC,South,Tamil,1
92,2.5162564772204474,1,59,Female,OBC,West,English,0
83,3.8580729646288954,4,42,Male,General,West,Bengali,0
74,2.6369300151792006,1,75,Female,ST,East,Hindi,0
91,2.978970456385622,5,99,Male,General,West,Hindi,0
91,3.9250929505762073,2,67,Male,SC,North,Hindi,1
83,3.925910720406334,7,4,Male,General,North,English,1
71,3.360156832184929,2,36,Female,General,West,Tamil,0
98,3.447755818254699,6,71,Male,ST,North,English,1
61,3.1726682829674795,2,91,Female,OBC,South,Bengali,0
62,2.9398161575470967,6,30,Female,General,South,Hindi,0
96,2.992996818054874,6,8,Male,OBC,West,English,1
76,3.5087776841155573,5,50,Male,SC,South,English,1
61,3.62856179415652,2,28,Male,General,South,Tamil,0
61,3.687368565588773,6,77,Female,ST,East,Tamil,0
87,3.684427214191831,3,39,Male,SC,East,Hindi,1
82,2.6368091545730357,4,40,Female,SC,South,English,1
96,3.2416304570538723,1,85,Female,ST,West,English,0
91,2.5863381400249663,1,10,Male,General,East,Tamil,1
92,3.3242933234856036,5,22,Male,General,North,English,1
60,3.1622957520600656,2,0,Female,SC,North,English,0
78,3.8315562741374496,2,45,Female,General,North,English,1
61,3.026372518828118,6,20,Female,OBC,West,Tamil,0
85,2.6756005246414087,7,89,Male,ST,South,Hindi,0
91,2.714487523079254,0,35,Female,OBC,North,Bengali,1
65,3.6422659475762083,6,53,Male,General,West,Hindi,0
91,3.4273270949743915,4,86,Female,SC,East,Bengali,1
63,2.6516840141841853,3,56,Female,ST,South,English,0
70,2.6261602091724963,1,0,Male,General,East,Hindi,0
76,3.55145369718868,6,62,Female,General,West,Bengali,0
97,2.60914450954629,0,53,Male,SC,North,Tamil,1
83,3.732790088935534,0,54,Male,SC,North,Tamil,1
64,3.5593633407347443,6,39,Female,OBC,West,Hindi,0
93,2.6220231709628496,5,14,Male,ST,North,Hindi,0
65,2.6272565711277878,1,20,Male,ST,South,English,0
81,3.9799593677517633,5,46,Female,SC,West,Hindi,0
70,3.0614061936341805,3,72,Male,OBC,East,English,0
75,3.0559632206003364,0,52,Male,ST,West,English,0
92,3.719199350886254,0,8,Male,SC,South,Tamil,1
68,3.920872866075788,4,73,Female,General,South,Tamil,1
65,3.9790015957343066,3,51,Male,ST,West,Bengali,0
75,3.630067277888412,0,56,Female,OBC,West,Tamil,0
88,3.0643893782963736,3,25,Female,OBC,North,Tamil,1
62,2.625251075048003,1,40,Male,OBC,South,Hindi,0
79,3.6657203738911552,2,34,Male,General,West,Tamil,0
95,3.3376063746037077,0,62,Male,ST,West,Bengali,0
78,3.1363330138704644,4,24,Female,ST,South,Hindi,0
85,3.859531577642104,1,89,Male,General,West,Bengali,1
62,2.666796223459227,6,74,Male,ST,North,Tamil,0
78,3.238937656436289,3,37,Male,General,South,Bengali,1
79,2.5170304671511285,6,1,Male,General,North,Hindi,1
91,3.2029909629911897,5,6,Male,General,North,English,1
66,2.584454913522756,1,81,Female,OBC,North,Bengali,0
92,2.678226874402108,6,90,Female,ST,North,Bengali,0
99,2.6762893701656574,7,33,Male,General,South,Hindi,1
98,3.4738154531740952,7,90,Male,ST,North,Hindi,1
77,3.619067318898135,0,16,Male,OBC,North,Bengali,1
99,3.3750531476457395,3,42,Male,General,West,Tamil,1
60,3.9432588227118126,2,58,Female,SC,South,Bengali,0
70,3.062305869285556,1,50,Male,OBC,South,Hindi,0
87,2.928568129422791,0,53,Female,SC,East,English,1
84,3.8028986922841903,4,23,Female,ST,South,English,0
82,2.835393757779179,5,24,Male,ST,South,Tamil,0
90,3.944833809160917,3,70,Female,OBC,East,Bengali,1
89,2.5182317120347246,1,51,Female,ST,South,English,0
94,3.9548182400614587,7,69,Female,SC,South,Bengali,1
66,2.564739867925864,1,87,Female,General,South,Hindi,0
75,3.8367146705471065,2,32,Male,General,South,English,1
85,3.2915516636294497,7,48,Male,General,East,Tamil,1
61,3.9894471941789504,2,28,Female,OBC,South,Hindi,0
60,2.6106948471030984,4,62,Male,ST,South,Tamil,0
71,3.3307814266019813,5,21,Male,SC,East,Hindi,1
64,3.9539538034286483,4,25,Male,ST,West,English,0
96,3.2846467662552232,0,27,Male,ST,North,Tamil,0
91,3.444097957202894,0,84,Male,ST,West,Tamil,0
68,3.543623033476926,4,48,Female,General,East,Hindi,1
94,3.18181159715166,5,70,Male,SC,North,Tamil,1
78,3.441337120126095,4,80,Male,SC,East,Hindi,1
75,3.3764714678846506,5,83,Male,ST,East,Hindi,0
62,3.851737015736483,5,48,Male,General,South,Hindi,0
79,2.568169570512187,6,19,Female,General,North,Hindi,1
83,2.9214447843883455,7,85,Female,SC,South,English,1
92,3.925617226114838,3,91,Female,General,North,Hindi,1
83,3.8353956758363745,5,62,Female,General,East,Bengali,1
70,3.1834851291785693,2,60,Male,General,East,Tamil,0
67,3.430198896702305,5,48,Female,OBC,West,Bengali,0
95,2.916071774471699,5,70,Male,ST,North,English,0
97,2.782181739585642,5,0,Male,SC,South,Bengali,1
99,3.1955476074099733,6,95,Male,SC,West,Tamil,1
79,3.0300283420390794,7,12,Male,OBC,West,Bengali,0
94,3.375484167776308,6,93,Male,ST,West,English,0
84,2.6166019554474773,0,86,Female,SC,South,Hindi,1
94,3.9615922114992497,6,50,Female,General,West,Bengali,1
84,3.979316116719404,2,55,Female,SC,South,English,1
88,3.5472425710296176,2,82,Female,General,West,English,1
77,3.3041445495161805,6,61,Male,OBC,South,Tamil,1
77,2.964291424429492,7,31,Female,General,East,Tamil,1
61,3.7206925295604227,4,29,Male,SC,East,Bengali,0
94,3.527096758830819,3,28,Female,SC,East,Hindi,1
75,2.743925409017337,7,48,Male,SC,East,English,1
95,3.8663907767407637,6,44,Male,OBC,East,Bengali,1
92,3.7338058643847534,5,92,Female,OBC,West,English,1
63,3.924699869937886,1,29,Male,ST,West,English,0
92,3.58857926258254,3,15,Male,SC,West,Hindi,1
73,3.4201227939036847,3,39,Female,General,South,Hindi,1
80,3.1273645544359283,2,18,Male,OBC,South,Bengali,1
79,3.8990927250310197,3,17,Female,SC,South,Hindi,1
67,3.7990958342506125,6,0,Female,SC,South,Hindi,1
66,2.567828005159284,5,77,Female,OBC,East,Bengali,0
62,2.539550461745878,5,46,Male,ST,East,Hindi,0
76,3.0646950503170745,0,65,Male,OBC,East,Tamil,1
92,3.7158299961727494,5,91,Male,OBC,North,English,1
71,3.9809141939724166,7,93,Female,General,West,English,0
81,2.725625336655292,5,37,Male,General,South,English,1
81,3.391196073028203,2,50,Female,ST,South,English,0
89,3.071336284946532,5,62,Female,SC,East,Bengali,1
97,3.9548715967219046,0,3,Male,OBC,South,English,1
97,3.763178384703563,1,0,Female,ST,South,English,1
67,3.7574930570667067,6,7,Male,General,West,English,0
86,3.2030397396924553,2,28,Male,OBC,East,English,1
86,3.1222292535064975,7,54,Male,SC,West,Tamil,0
93,2.9101106078960592,1,2,Male,General,North,English,1
80,2.5845632449763905,2,31,Male,General,North,Tamil,1
89,3.7970835643825795,4,9,Female,General,North,Bengali,1
92,3.7193515136951163,3,73,Female,ST,East,Hindi,0
87,3.999576509929196,4,82,Female,SC,South,English,1
92,3.994955255610858,5,33,Male,OBC,East,Hindi,1
64,3.333147558403941,1,96,Male,ST,East,Hindi,0
78,3.6534811227707658,5,86,Male,ST,South,Bengali,0
63,3.917148594823642,3,54,Female,ST,West,Hindi,0
94,3.774471086016117,2,91,Male,General,North,Tamil,1
76,2.8710221526147963,3,31,Female,SC,West,Hindi,0
87,3.17581620296514,0,49,Female,ST,North,Hindi,0
89,2.6937391227272425,3,6,Male,OBC,East,Hindi,1
88,3.9310765408880837,0,92,Male,SC,North,English,1
65,3.40926195167632,3,7,Female,OBC,East,English,0
94,2.8429642082551942,6,64,Male,SC,West,Tamil,1
96,3.507551026608785,0,56,Female,OBC,East,Tamil,1
83,3.4271923606868437,1,66,Male,General,West,English,0
88,3.0372440770492606,5,87,Male,ST,South,Tamil,0
