years_exp,coding_score,education_level,previous_salary,gender,caste,region,language,hired
6,84,PhD,96793,Male,SC,West,Tamil,1
11,59,Bachelors,87915,Male,General,West,Hindi,1
7,40,Bachelors,44632,Female,OBC,West,Bengali,0
14,47,Masters,43596,Female,SC,North,English,0
2,85,Bachelors,46168,Female,OBC,East,Bengali,0
13,55,PhD,47561,Male,ST,West,English,1
16,53,PhD,113794,Male,SC,South,Tamil,1
3,51,Bachelors,66734,Female,SC,East,English,0
17,90,Bachelors,46371,Male,OBC,South,Tamil,1
7,62,Masters,66069,Male,SC,East,Bengali,0
3,54,PhD,119905,Male,OBC,South,Tamil,0
1,67,PhD,52910,Male,SC,North,Bengali,0
5,73,Bachelors,113479,Female,General,West,Hindi,0
9,41,Masters,117735,Male,OBC,South,Hindi,1
3,71,PhD,63275,Male,SC,East,Hindi,0
17,62,PhD,112274,Male,ST,West,Tamil,1
11,61,Masters,100004,Male,SC,West,Hindi,1
1,90,Masters,102981,Female,ST,East,English,0
9,64,PhD,94553,Female,ST,South,Bengali,0
3,97,PhD,88447,Male,General,North,Bengali,0
13,61,Masters,74529,Male,OBC,North,English,1
15,97,PhD,115703,Male,SC,South,Tamil,1
14,97,Bachelors,116090,Male,General,West,Tamil,1
7,61,Bachelors,57260,Male,SC,West,Bengali,1
13,88,Masters,43812,Male,ST,West,Hindi,1
7,91,Masters,68024,Female,OBC,West,Tamil,0
15,81,Masters,98656,Male,SC,South,Tamil,1
12,45,Bachelors,67285,Female,SC,West,English,1
17,54,PhD,41605,Female,ST,East,English,1
14,93,Bachelors,111158,Male,SC,West,Hindi,1
12,82,PhD,112303,Female,SC,North,Tamil,0
8,99,Bachelors,67139,Female,ST,West,Tamil,0
14,76,PhD,117149,Female,General,South,English,1
12,72,Bachelors,96138,Female,ST,North,Tamil,0
0,47,Masters,116125,Female,General,South,Bengali,0
6,92,Bachelors,53918,Female,OBC,South,English,0
8,99,PhD,67446,Male,General,North,Hindi,1
0,83,Bachelors,53046,Female,General,South,English,0
11,83,Bachelors,64818,Female,OBC,South,Tamil,0
7,44,Bachelors,44324,Female,General,West,Hindi,0
10,78,Masters,116323,Male,ST,East,English,1
18,43,Bachelors,49111,Female,General,South,Bengali,1
16,45,Masters,78110,Male,OBC,South,Bengali,1
7,84,Masters,56389,Female,ST,South,English,1
2,71,Bachelors,81427,Male,OBC,West,Bengali,0
2,91,Bachelors,119579,Male,OBC,East,Bengali,0
0,69,Bachelors,68746,Female,SC,North,Bengali,0
4,86,PhD,40117,Female,SC,West,Hindi,0
9,74,Bachelors,53234,Male,OBC,West,Bengali,1
6,94,Masters,93441,Female,OBC,East,Bengali,0
8,79,Bachelors,40846,Male,OBC,East,Bengali,1
6,91,PhD,50954,Male,SC,West,Hindi,1
8,55,Bachelors,119239,Male,SC,North,English,1
7,52,PhD,86514,Male,General,West,Tamil,0
11,89,PhD,46469,Male,General,East,Bengali,1
1,99,Bachelors,70105,Female,OBC,North,English,0
0,81,Masters,82101,Male,ST,East,Bengali,0
15,69,PhD,104323,Male,ST,North,Hindi,1
4,58,Bachelors,98067,Female,SC,South,English,0
2,56,Bachelors,89376,Male,SC,East,Hindi,0
11,95,Masters,85587,Female,SC,East,Bengali,0
7,58,PhD,76976,Female,OBC,West,Bengali,0
2,67,PhD,107584,Female,ST,East,Hindi,0
0,97,Bachelors,118477,Male,General,East,Tamil,0
2,94,Bachelors,82533,Male,OBC,South,Hindi,1
4,65,Masters,41828,Male,General,East,Bengali,0
14,76,Masters,41917,Female,General,South,Hindi,1
13,65,PhD,60618,Male,OBC,South,Tamil,1
2,92,PhD,72254,Female,General,South,Hindi,0
0,62,Bachelors,87362,Male,ST,South,Tamil,0
4,48,PhD,60128,Female,General,North,Tamil,0
13,51,Masters,99383,Male,ST,West,Hindi,1
6,92,Masters,105545,Male,ST,North,Hindi,1
8,40,Bachelors,49865,Male,ST,East,English,1
14,97,Masters,42219,Female,SC,North,Bengali,0
14,97,Masters,79809,Female,General,North,Tamil,0
9,40,Masters,45287,Male,OBC,East,English,1
12,86,Masters,74387,Male,OBC,East,Hindi,1
18,73,Bachelors,48512,Female,General,East,Bengali,1
6,71,Bachelors,41342,Female,SC,North,English,0
16,93,PhD,103076,Female,SC,North,Tamil,1
19,87,Masters,59216,Male,ST,East,English,1
3,64,PhD,119767,Female,General,West,Tamil,0
4,79,Bachelors,66614,Male,General,West,Hindi,1
6,84,Bachelors,76258,Female,OBC,South,Bengali,0
12,92,Bachelors,82078,Male,General,East,Bengali,1
14,40,Bachelors,52219,Female,SC,South,Bengali,0
10,55,Bachelors,40235,Female,General,West,Hindi,1
3,78,Bachelors,82929,Female,OBC,South,Tamil,0
12,44,Bachelors,107444,Female,ST,East,Hindi,0
6,61,Masters,48567,Female,OBC,East,Bengali,0
18,68,PhD,110792,Male,OBC,East,Hindi,1
1,94,Bachelors,105441,Female,ST,North,Hindi,0
9,42,Masters,113698,Female,OBC,South,Hindi,0
12,51,Masters,45415,Female,OBC,West,Tamil,0
5,65,PhD,76159,Male,General,West,English,1
11,55,Bachelors,83925,Female,General,West,English,1
11,90,PhD,45951,Male,ST,North,Hindi,1
19,76,Bachelors,48007,Female,General,North,English,1
10,61,Masters,81832,Female,General,East,English,0
6,96,Masters,98596,Male,OBC,West,Hindi,1
0,68,Masters,70523,Female,SC,North,Hindi,0
0,53,Masters,55524,Male,General,East,Bengali,0
19,67,PhD,59282,Male,SC,West,English,1
12,44,Bachelors,63930,Female,General,South,Tamil,0
8,86,Bachelors,40077,Male,General,East,Hindi,1
2,88,PhD,60611,Female,ST,North,Bengali,0
6,69,Bachelors,56984,Female,ST,North,Tamil,0
5,85,Masters,54060,Male,ST,East,English,1
7,91,Bachelors,83303,Male,SC,East,Bengali,1
8,44,Masters,99207,Male,OBC,North,Hindi,0
4,51,PhD,115046,Male,General,South,Tamil,0
0,55,Bachelors,69287,Female,General,West,Hindi,0
18,65,PhD,79711,Female,General,South,English,1
9,65,Bachelors,51954,Male,SC,East,Tamil,1
11,87,Masters,113340,Female,ST,South,English,1
14,60,PhD,112101,Female,OBC,North,English,0
8,78,Bachelors,111520,Female,SC,East,Bengali,0
19,75,Masters,58574,Female,ST,West,Hindi,1
16,72,PhD,49184,Male,SC,North,Tamil,1
16,69,PhD,59096,Male,OBC,North,English,1
19,76,Bachelors,107728,Female,ST,West,English,1
11,62,Bachelors,74016,Male,SC,West,Tamil,1
6,97,Bachelors,51246,Male,OBC,South,English,1
1,49,Masters,85558,Male,General,East,Bengali,0
2,93,Bachelors,58381,Female,OBC,West,Bengali,0
16,44,PhD,76455,Female,General,West,Bengali,1
4,75,PhD,44018,Female,SC,East,Bengali,0
16,73,Bachelors,51302,Male,ST,West,English,1
16,91,Bachelors,107506,Female,ST,West,Tamil,1
16,70,PhD,81157,Female,SC,South,Tamil,1
1,49,Masters,94917,Male,ST,North,Tamil,0
1,97,Bachelors,64519,Female,ST,North,Tamil,0
4,58,Bachelors,96819,Female,General,North,Hindi,0
0,97,PhD,111324,Male,SC,North,Tamil,0
0,71,Bachelors,45408,Male,OBC,West,Hindi,0
18,40,Masters,99379,Male,General,East,Hindi,1
1,95,PhD,65053,Female,SC,East,Bengali,0
11,44,Bachelors,49446,Female,General,South,Hindi,1
5,84,PhD,40922,Female,OBC,South,English,0
3,43,Bachelors,91356,Male,OBC,West,Hindi,0
10,55,Bachelors,50789,Male,SC,East,Bengali,1
16,63,Bachelors,106656,Female,OBC,East,Hindi,1
5,55,Masters,84028,Female,General,North,English,0
4,94,Masters,104484,Male,OBC,West,English,1
19,41,PhD,72154,Male,General,West,English,1
1,88,Bachelors,42336,Male,General,North,Bengali,0
5,67,Bachelors,107779,Male,OBC,West,Bengali,0
10,71,Masters,59029,Female,SC,West,Tamil,0
15,66,Bachelors,99201,Male,ST,South,Bengali,1
15,59,Masters,72265,Female,OBC,East,English,1
0,63,Bachelors,83872,Female,General,West,English,0
8,51,PhD,86197,Female,General,South,Bengali,0
5,89,Bachelors,95180,Male,OBC,East,Hindi,1
15,74,Bachelors,63710,Male,SC,North,Bengali,1
2,99,Masters,69486,Male,SC,South,Bengali,0
19,72,Bachelors,111907,Male,General,South,English,1
3,72,Bachelors,111895,Female,General,East,Tamil,0
18,90,Masters,104435,Male,SC,North,English,1
2,82,PhD,80631,Male,ST,South,Tamil,0
18,76,PhD,60103,Female,OBC,West,English,1
19,51,Masters,104772,Male,General,West,Bengali,1
6,42,Masters,54382,Female,General,West,English,0
19,40,Masters,43756,Female,SC,North,English,1
8,72,Masters,60609,Female,OBC,South,English,0
0,79,Masters,56478,Female,SC,West,Bengali,0
7,49,PhD,79666,Female,OBC,North,Bengali,0
6,82,PhD,115683,Female,OBC,West,Bengali,0
17,83,Masters,111315,Female,OBC,East,Bengali,1
7,68,Bachelors,117834,Female,General,South,Tamil,0
0,52,Masters,54153,Male,ST,South,Tamil,0
10,51,Bachelors,116325,Male,SC,North,Hindi,1
17,70,Masters,52999,Male,ST,North,Bengali,1
9,85,Masters,95318,Male,SC,South,Tamil,1
2,41,PhD,40814,Female,OBC,West,English,0
6,90,Bachelors,116077,Male,General,West,Bengali,1
15,89,Bachelors,42443,Female,ST,East,Hindi,1
15,74,PhD,115993,Male,General,West,Hindi,1
19,62,PhD,115916,Male,SC,North,Hindi,1
16,56,PhD,113319,Male,General,North,English,1
1,65,PhD,57368,Female,General,West,Tamil,0
0,47,Bachelors,55328,Male,ST,North,English,0
15,68,Bachelors,96942,Female,OBC,South,Bengali,1
11,65,Masters,67306,Female,General,South,Hindi,1
4,49,Masters,79915,Male,OBC,West,English,1
4,65,PhD,77219,Male,SC,South,English,1
8,73,PhD,104644,Male,General,South,Tamil,1
8,90,PhD,100279,Female,ST,East,Tamil,0
2,80,Masters,93028,Male,SC,East,Hindi,0
18,46,Masters,40126,Female,SC,South,English,1
15,43,Masters,92329,Female,ST,West,English,1
15,97,Masters,67632,Male,General,East,Tamil,1
2,92,Masters,105310,Male,General,North,English,0
19,89,Masters,95176,Female,SC,North,English,1
0,84,Masters,84327,Female,General,North,English,0
19,50,PhD,108904,Female,OBC,West,Tamil,1
10,68,PhD,43797,Male,ST,South,Hindi,1
16,95,PhD,87882,Female,OBC,North,Bengali,1
7,75,PhD,53718,Male,General,West,Hindi,1
3,64,Masters,74560,Female,SC,East,Bengali,0
5,60,Bachelors,116589,Female,ST,South,English,0
7,96,Masters,62116,Male,General,East,Hindi,1
19,75,Bachelors,76244,Female,General,West,Bengali,1
2,49,PhD,41645,Male,SC,North,Tamil,0
15,76,Masters,87523,Male,SC,North,Tamil,1
2,48,PhD,59256,Female,OBC,West,Hindi,0
17,63,Masters,93173,Male,ST,North,Hindi,1
13,74,PhD,77430,Male,ST,South,English,1
17,88,Bachelors,79282,Female,SC,West,Hindi,1
1,74,Bachelors,103374,Male,OBC,East,English,0
2,87,Bachelors,108244,Male,ST,West,English,1
15,75,Masters,51694,Male,SC,South,Tamil,1
8,57,Bachelors,96264,Female,General,South,Tamil,0
3,88,Masters,115060,Male,ST,West,Bengali,0
0,78,Bachelors,97545,Female,OBC,West,Tamil,0
3,71,Bachelors,79224,Female,OBC,North,Tamil,0
0,63,Masters,53224,Male,OBC,South,Hindi,0
13,62,Masters,80738,Male,General,West,Tamil,1
15,71,Bachelors,65150,Male,ST,West,Bengali,1
19,76,Masters,103731,Female,ST,South,Hindi,1
7,51,Bachelors,89688,Male,General,West,Bengali,0
6,88,Masters,113509,Male,ST,North,Tamil,0
2,94,PhD,48577,Male,General,South,Bengali,0
16,52,PhD,48070,Male,General,North,Hindi,1
0,62,PhD,48666,Male,General,North,English,0
15,64,PhD,97761,Female,OBC,North,Bengali,0
11,74,PhD,76368,Female,ST,North,Bengali,0
18,80,Bachelors,46783,Male,General,South,Hindi,1
13,69,PhD,81914,Male,ST,North,Hindi,1
5,56,PhD,110507,Male,OBC,North,Bengali,0
5,88,PhD,119026,Male,General,West,Tamil,1
12,59,PhD,107526,Female,SC,South,Bengali,0
18,87,Masters,110835,Male,OBC,South,Hindi,1
7,64,Bachelors,85765,Female,SC,East,English,0
1,61,PhD,59956,Female,ST,South,English,0
0,52,PhD,86240,Male,ST,South,Tamil,0
14,98,PhD,77148,Female,OBC,East,Bengali,1
0,58,Bachelors,44757,Female,ST,South,English,0
4,88,Masters,59097,Female,SC,South,Bengali,0
15,75,Bachelors,50395,Female,General,South,Hindi,1
18,51,Masters,56241,Male,General,South,English,1
3,80,PhD,67696,Male,General,East,Tamil,0
2,58,PhD,110480,Female,OBC,South,Hindi,0
16,51,Bachelors,86163,Male,ST,South,Tamil,1
16,48,Bachelors,59816,Male,SC,East,Hindi,1
11,46,Masters,89840,Male,ST,West,English,1
13,67,Masters,92853,Male,ST,North,Tamil,1
5,53,Bachelors,64917,Male,ST,West,Tamil,0
2,70,Masters,61566,Female,General,East,Hindi,0
8,91,Bachelors,115452,Male,SC,North,Tamil,0
4,58,Masters,102823,Male,SC,East,Hindi,0
16,97,Bachelors,60806,Male,ST,East,Hindi,1
13,86,Bachelors,115520,Male,General,South,Hindi,1
2,55,Bachelors,41759,Female,General,North,Hindi,0
0,92,Masters,81949,Female,SC,South,English,0
19,44,Masters,42482,Female,General,North,Hindi,1
0,74,Masters,64442,Female,General,East,Bengali,0
2,51,Bachelors,73719,Male,General,East,Tamil,0
17,64,Masters,98066,Female,OBC,West,Bengali,1
